,Unnamed: 0,Lagrangian_SVC,Lagrangian_RF,Lagrangian_Length
0,Coffee,3.535714285714286,3.283163265306123,0.2937062937062937
1,FordA,2.9673428047411785,2.9127355024542223,0.33
2,FordB,3.0143540669856455,2.9699165568730783,0.33
3,OSULeaf,3.1197748233321354,3.0942028985507246,0.3231850117096019
4,Phoneme,2.9446619303078623,2.9645479589281245,0.3544921875
5,ToeSegmentation1,3.4433375904640275,3.3966466466466465,0.2924187725631769
6,Worms,2.857142857142857,2.987012987012987,0.35
7,WormsTwoClass,2.9166666666666665,2.740524781341108,0.35
